feature,gain
17,1347.11328125
15,816.80712890625
10,390.1136474609375
28,333.11029052734375
12,306.9729309082031
8,290.9540100097656
9,240.01791381835938
5,186.08621215820312
1,161.60369873046875
31,158.08343505859375
23,153.41204833984375
26,152.6454315185547
6,128.2833709716797
27,100.00041961669922
19,79.13762664794922
4,70.89099884033203
20,64.95600891113281
0,64.1086654663086
22,62.30033874511719
13,61.67130661010742
11,57.978271484375
2,57.5191535949707
14,52.67415237426758
32,52.533050537109375
25,45.54922103881836
24,45.498382568359375
3,42.37779998779297
18,40.04469680786133
7,38.9389762878418
16,36.37679672241211
21,35.61485290527344
29,33.05904769897461
30,28.95331382751465
