feature,gain
17,1423.8956298828125
15,833.130126953125
10,379.84979248046875
28,357.7687072753906
12,307.412353515625
8,291.78973388671875
9,233.32337951660156
5,184.69786071777344
1,162.1719207763672
31,152.10565185546875
23,151.49620056152344
6,127.12618255615234
26,122.17979431152344
27,97.33511352539062
19,82.00676727294922
4,71.21464538574219
0,64.74466705322266
20,64.74358367919922
22,62.70306396484375
13,61.55080795288086
11,56.74628448486328
2,55.792877197265625
14,55.30815887451172
32,53.29780578613281
25,47.36260986328125
24,44.362857818603516
3,43.34619140625
18,39.266361236572266
16,36.10404968261719
7,35.904693603515625
21,34.82505416870117
30,31.3610782623291
29,30.44390869140625
