feature,gain
17,2668.591552734375
15,2010.1519775390625
10,1496.3863525390625
8,913.8873901367188
12,782.1234741210938
28,750.2724609375
23,733.094482421875
5,572.2823486328125
9,498.1440734863281
27,404.4268493652344
1,381.8165283203125
31,371.3870849609375
6,347.1034851074219
26,273.5323791503906
19,265.5308837890625
24,205.406494140625
22,198.9515380859375
13,190.2021484375
20,177.81446838378906
0,153.58477783203125
11,148.22149658203125
4,114.65367889404297
2,109.41129302978516
25,46.44197082519531
