feature,gain
22,1871.123779296875
21,1607.0552978515625
20,759.0828857421875
4,700.853515625
9,491.4640808105469
10,441.68115234375
29,302.1005554199219
7,241.1658935546875
19,199.09255981445312
1,171.04754638671875
8,168.4442138671875
17,129.7095184326172
5,128.55462646484375
18,125.46704864501953
14,121.06829071044922
15,111.29209899902344
16,107.09149169921875
13,106.35995483398438
42,89.201904296875
40,89.07569885253906
11,83.79643249511719
31,78.54490661621094
38,75.35697174072266
35,74.09668731689453
39,73.80927276611328
3,71.69998931884766
0,65.03927612304688
12,64.20572662353516
33,60.008026123046875
36,58.317588806152344
25,57.62197494506836
32,55.798973083496094
34,51.1781120300293
37,47.998985290527344
30,45.3072395324707
41,43.733699798583984
24,42.54219436645508
23,34.56503677368164
2,33.4152717590332
6,29.944692611694336
