feature,gain
4,781.8672485351562
9,483.326416015625
10,441.2393798828125
17,338.1579895019531
24,333.5322265625
20,194.6002655029297
8,183.8732147216797
1,179.5411376953125
7,168.8294677734375
5,130.36788940429688
15,109.53083801269531
18,108.06629943847656
14,108.04076385498047
16,99.61016082763672
31,95.15902709960938
19,95.0478515625
13,94.00572204589844
29,84.8961181640625
28,74.65913391113281
3,74.11560821533203
11,67.35432434082031
25,65.7505874633789
0,60.734779357910156
27,56.728153228759766
12,54.82340621948242
23,54.23683166503906
26,48.60493087768555
30,44.371131896972656
21,39.764442443847656
2,39.358856201171875
22,38.67389678955078
6,27.140644073486328
