feature,gain
7,2877.9453125
10,769.2645874023438
4,515.5341796875
9,495.95367431640625
23,486.4140930175781
1,230.44374084472656
19,211.3217315673828
3,173.2090606689453
8,167.2640380859375
16,160.1428680419922
0,120.39977264404297
14,119.22948455810547
26,108.30689239501953
28,106.8792953491211
18,101.59618377685547
17,98.23741149902344
15,97.70135498046875
30,81.462890625
13,75.23532104492188
12,72.90571594238281
29,69.41444396972656
11,60.95844268798828
22,58.60697555541992
27,54.96731948852539
25,44.22456741333008
24,41.251007080078125
5,41.13916015625
2,35.37885284423828
21,29.24901580810547
20,26.480318069458008
6,16.34868621826172
